CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,602,340,5530,568,80098,3550,2015,527,,23441,6452,1780,554,17831,1672,983,1137,1010,1009,293,5146,9384,4946,4119,296,1803,84,1070,3592,786,16064,718,32859,3257,205,4183,840,2453,5192,815,632,242,1357,23090,1201,177,6670,6495,136,2096,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students],,,,,2,2,2,5,2,2,2,2,,2,2,3,5,2,2,5,5,2,2,6,2,2,2,2,2,2,2,5,3,2,2,6,6,2,5,2,2,2,2,5,2,5,2,2,2,6,2,2,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Bosnia Herzegovina] 1=[0xE41A1C][Canada] 2=[0x4DAF4A][Cuba] 3=[0x984EA3][Dominican Republic] 4=[0xFF7F00][India] 5=[0xFFFF33][Jamaica] 6=[0xA65628][Mexico] 7=[0xF781BF][Philippines] 8=[0xCCCC00][Somalia] 9=[0xFF0A85][Sudan] 10=[0x00CCCC][Vietnam] 11=[0x00FF1A][El Salvador] 12=[0x0000AD][Ethiopia] 13=[0x3D3D3D][China],,,,,6,7,6,6,6,6,4,4,,2,6,7,6,6,6,6,6,0,10,8,4,3,4,8,4,0,1,6,6,4,4,6,3,6,0,4,6,6,4,3,4,9,6,6,6,0,4,6,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1946,831,9707,1133,152836,5526,7231,1187,,90846,19785,5276,980,30156,3885,805,2509,2049,1336,802,14465,22932,11675,9137,495,3711,225,1797,8202,2483,39801,1538,103870,12592,329,8796,2246,4332,15846,2266,2940,342,3334,37835,2740,569,20401,12762,390,3247,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1151,509,5302,606,84505,2941,4017,659,,51989,10716,3050,536,16521,2076,409,1312,1095,738,462,8271,12778,6229,4903,281,2089,143,924,4600,1391,22038,843,57436,6464,169,4777,1186,2446,8559,1296,1606,158,1760,20569,1529,310,11135,7284,229,1759,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,795,322,4405,527,68331,2585,3214,528,,38857,9069,2226,444,13635,1809,396,1197,954,598,340,6194,10154,5446,4234,214,1622,82,873,3602,1092,17763,695,46434,6128,160,4019,1060,1886,7287,970,1334,184,1574,17266,1211,259,9266,5478,161,1488,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Military] 1=[0xE41A1C][Operators/Laborer] 2=[0x4DAF4A][Management/Professional] 3=[0x984EA3][Service] 4=[0xFF7F00][Construction/Repair] 5=[0xFFFF33][Production/Transportation] 6=[0xA65628][Students],,,,,2,2,2,5,2,2,6,2,,2,2,0,2,2,2,5,5,6,2,2,2,6,2,6,2,2,2,5,3,2,2,6,6,2,2,2,6,2,6,5,2,5,2,2,2,2,2,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,0=[0x377EB8][Bosnia Herzegovina] 1=[0xE41A1C][Canada] 2=[0x4DAF4A][Cuba] 3=[0x984EA3][Dominican Republic] 4=[0xFF7F00][India] 5=[0xFFFF33][Jamaica] 6=[0xA65628][Mexico] 7=[0xF781BF][Philippines] 8=[0xCCCC00][Somalia] 9=[0xFF0A85][Sudan] 10=[0x00CCCC][Vietnam] 11=[0x00FF1A][El Salvador] 12=[0x0000AD][Ethiopia] 13=[0x3D3D3D][China],,,,,4,7,6,6,6,6,5,4,,2,4,7,6,6,6,6,6,0,10,8,4,3,4,8,4,0,1,6,6,0,4,6,3,4,0,4,6,6,4,3,4,9,4,6,6,0,4,6,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,795,951,6785,990,170489,5681,8169,945,,42999,7903,4663,1097,27739,2650,234,1814,1820,1700,772,11503,22685,11418,7383,520,2733,209,1365,5901,971,33160,1401,84624,5862,203,9415,1799,4777,13307,2604,916,354,3578,38553,2874,488,17653,14817,362,4040,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,448,521,3890,558,96425,3095,4499,508,,24846,4232,2948,609,14857,1386,113,991,950,905,439,6683,12651,5961,4035,268,1465,144,718,3429,526,18204,808,46898,2880,107,5108,1012,2778,7230,1439,465,200,1930,21053,1640,264,9639,8569,207,2149,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
